,Open,High,Low,Close,5. volume
2005-08-02,479.2082,506.2526,479.2082,502.8974,32154803.0
2005-08-03,502.2538,515.132,481.2418,483.7498,110092694.0
2005-08-04,491.273,507.676,488.4602,494.12,55234755.0
2005-08-05,497.814,497.814,490.2228,491.9172,40455526.0
2005-08-08,495.4754,500.7964,479.5812,482.2586,32756127.0
2005-08-09,484.6308,491.07,476.1582,479.4116,29937551.0
2005-08-10,481.9194,489.3752,481.106,487.5112,18457121.0
2005-08-11,488.0196,494.73,483.3428,486.0204,20440326.0
2005-08-12,487.8164,489.6804,475.8194,476.9714,19085653.0
2005-08-16,477.8526,481.2078,471.4134,474.362,15702007.0
2005-08-17,474.5312,486.2574,471.1426,484.3256,16552197.0
2005-08-18,488.0196,492.4256,478.0222,480.3606,22143428.0
2005-08-19,480.5638,487.4778,475.8868,478.2252,16905915.0
2005-08-22,481.2418,483.5462,470.5664,473.9216,13883151.0
2005-08-23,476.497,478.5306,463.0766,464.466,21631022.0
2005-08-24,465.6524,472.1928,463.314,470.939,22949369.0
2005-08-25,473.1078,474.7688,469.0412,472.0576,13047175.0
2005-08-26,474.4638,477.175,470.2614,473.481,11960637.0
2005-08-29,476.497,479.4456,469.7192,474.4638,14399966.0
2005-08-30,475.8534,480.9708,473.9216,479.6488,10853828.0
2005-08-31,481.2418,490.7312,479.8862,487.7148,18937981.0
2005-09-01,487.342,494.798,484.6308,492.5952,14110566.0
2005-09-02,492.7644,496.7636,488.0196,495.3742,15939381.0
2005-09-05,495.7808,499.8136,493.4424,495.2046,8480893.0
2005-09-06,495.4754,498.0174,491.5106,494.1538,7444936.0
2005-09-08,496.831,505.4394,496.831,500.525,22619136.0
2005-09-09,499.5426,504.965,498.2544,502.3216,12430958.0
2005-09-12,504.965,511.7428,504.4566,510.489,8689087.0
2005-09-13,510.726,514.454,508.1166,509.7096,12506946.0
2005-09-14,507.7778,511.7428,499.2034,502.0842,13739444.0
2005-09-15,501.5758,518.0466,501.5758,515.7082,15349056.0
2005-09-16,517.877,520.2154,512.7936,518.148,12340166.0
2005-09-19,518.589,519.8766,513.912,518.2498,6735432.0
2005-09-20,518.5212,530.0098,511.9802,527.6714,28277512.0
2005-09-21,523.2654,532.0772,508.354,530.5182,40413821.0
2005-09-22,529.3658,531.738,508.4216,511.7768,27586850.0
2005-09-23,513.7764,517.8432,500.8982,507.2016,35395882.0
2005-09-26,511.0652,531.6702,508.354,529.027,27916638.0
2005-09-27,533.7716,539.3296,528.6882,533.9408,25742093.0
2005-09-28,533.4328,544.2774,532.0772,542.4474,25926148.0
2005-09-29,545.8366,551.3946,543.0236,547.8024,23048923.0
2005-09-30,543.6,549.0222,529.5354,537.8384,23792710.0
2005-10-03,537.4996,543.6678,535.466,538.3128,16997886.0
2005-10-04,540.5156,547.5988,538.5164,546.311,15379325.0
2005-10-05,548.8866,549.0222,541.2614,543.566,14149655.0
2005-10-06,541.5664,541.5664,532.1448,536.0422,23764807.0
2005-10-07,535.8048,538.8552,526.6546,534.7546,26685473.0
2005-10-10,535.466,537.364,529.3658,531.0606,13361417.0
2005-10-11,532.0772,535.466,524.1808,534.28,19183286.0
2005-10-13,535.466,536.8216,523.6724,525.3668,23277243.0
2005-10-14,526.6546,526.6546,516.2166,517.5722,26348973.0
2005-10-17,521.9098,525.5704,514.7932,522.791,22961717.0
2005-10-18,525.4008,529.1626,508.388,513.3358,24927939.0
2005-10-19,511.0652,513.6408,502.2538,506.8968,32125850.0
2005-10-20,511.675,516.3518,499.5426,507.2356,23544628.0
2005-10-21,508.2184,523.2654,503.7446,522.2152,38038697.0
2005-10-24,532.0772,532.0772,510.76,512.9632,19433395.0
2005-10-25,521.8424,528.4168,513.505,520.2494,22207157.0
2005-10-26,518.9956,524.7906,516.4876,517.7414,12653940.0
2005-10-27,518.589,521.7068,505.6426,509.1674,32838148.0
2005-10-28,510.3872,513.7764,499.5762,502.423,22525534.0
2005-10-31,502.9314,518.5212,500.9656,516.8602,15838897.0
2005-11-02,519.3344,528.0102,513.234,526.7224,13392663.0
2005-11-07,527.129,535.7714,522.5878,533.5004,14405676.0
2005-11-08,534.7884,538.5838,530.4504,535.6356,17398098.0
2005-11-09,536.8216,542.888,533.7716,536.5168,17740300.0
2005-11-10,536.8556,538.8552,531.0266,532.45,11728925.0
2005-11-11,533.4328,545.0234,533.4328,539.2278,17968749.0
2005-11-14,540.9902,544.2096,534.4832,540.6852,10456386.0
2005-11-16,545.633,554.919,542.617,554.1058,17265916.0
2005-11-17,555.8002,563.5274,552.5806,562.07,16320986.0
2005-11-18,563.256,565.9336,557.5628,559.528,13329605.0
2005-11-21,559.1892,565.2556,556.478,561.799,18240891.0
2005-11-22,561.9004,568.6448,553.1568,555.2582,27373664.0
2005-11-23,555.8002,564.815,555.2922,563.9678,18816315.0
2005-11-24,564.7812,574.779,564.7812,572.3048,16494364.0
2005-11-25,574.101,574.4738,567.0518,571.593,17319639.0
2005-11-28,573.5586,576.7444,571.8644,574.3046,11930303.0
2005-11-29,574.101,586.9792,570.0342,574.8464,32001906.0
2005-11-30,577.4224,580.2014,562.6802,564.5442,19608760.0
2005-12-01,565.2218,571.6948,562.5784,569.5258,17330219.0
2005-12-02,570.0342,575.4226,566.8148,568.7126,13144193.0
2005-12-05,569.3562,582.2348,566.7468,568.814,13933069.0
2005-12-06,565.8318,573.9654,562.307,566.8826,18992309.0
2005-12-07,568.0686,574.372,562.5784,571.7286,14050876.0
2005-12-08,572.7116,575.6262,566.6452,573.3556,36354736.0
2005-12-09,578.1678,586.6404,574.9822,585.5218,52114277.0
2005-12-12,589.555,592.0628,582.9124,584.8442,44992176.0
2005-12-13,587.725,592.8764,582.2348,590.9784,50319705.0
2005-12-14,591.3852,592.9438,580.5402,583.2512,39508140.0
2005-12-15,584.2002,586.098,569.3562,572.9824,13836204.0
2005-12-16,576.0668,578.2016,569.3562,575.3888,16225227.0
2005-12-19,576.4734,583.5904,576.4734,580.9128,7024638.0
2005-12-20,584.268,586.9792,577.4902,579.3202,9644776.0
2005-12-21,578.9136,585.2848,575.4906,582.8786,13126926.0
2005-12-22,585.7932,589.3516,578.1678,579.5912,14731281.0
2005-12-23,582.2348,583.5904,569.3902,570.9832,14700673.0
2005-12-26,569.3562,572.6776,560.8836,564.137,16147882.0
2005-12-27,564.6116,589.6904,561.5956,587.4876,19221494.0
2005-12-28,590.3684,603.1112,589.0466,591.3172,48098941.0
2005-12-29,594.7742,606.6356,593.0794,604.399,25779413.0
2005-12-30,605.28,610.7024,600.2644,603.0094,91404216.0
2006-01-02,605.585,611.1768,604.2972,609.008,10712657.0
2006-01-03,610.0248,625.6142,607.3136,623.2418,15536350.0
2006-01-04,623.2418,634.3578,623.2418,630.0876,16683967.0
2006-01-05,629.6808,634.3578,623.581,624.6992,16898227.0
2006-01-06,625.6142,631.5788,619.5478,623.5132,17011317.0
2006-01-09,624.9366,628.3254,614.1254,616.5996,21063020.0
2006-01-10,616.8366,618.7684,602.569,605.6528,37179494.0
2006-01-12,600.5354,608.2622,592.0628,601.3826,63785102.0
2006-01-13,601.2134,607.9912,598.5358,599.9252,30471674.0
2006-01-16,600.5692,600.5692,585.7254,591.7918,59714913.0
2006-01-17,589.6904,635.4424,589.6904,629.105,127142364.0
2006-01-18,637.3124,659.8436,621.9892,629.1066,257312556.0
2006-01-19,630.1498,640.8486,625.8428,638.4912,37345361.0
2006-01-20,639.2164,642.8434,636.4964,637.7202,13159853.0
2006-01-23,630.1498,639.942,630.1498,635.9976,12681173.0
2006-01-24,638.9898,645.5634,624.5736,628.6536,29865948.0
2006-01-25,630.9654,634.2298,621.3548,623.8936,30969188.0
2006-01-27,630.1498,637.8112,628.3362,633.4136,13902517.0
2006-01-30,639.2164,651.0034,639.2164,645.11,22114701.0
2006-01-31,644.6564,652.2726,642.4808,647.1048,24842671.0
2006-02-01,648.2834,651.457,635.9524,639.9872,13204376.0
2006-02-02,636.4964,645.0194,635.5898,641.7098,11331491.0
2006-02-03,641.0298,643.75,630.195,631.6002,9839475.0
2006-02-06,625.6162,654.721,620.6748,652.9526,27216688.0
2006-02-07,652.817,656.2622,640.6672,653.1796,19688988.0
2006-02-08,652.817,657.3048,647.3764,649.3712,16578113.0
2006-02-10,649.19,655.7636,647.5582,652.7262,10738154.0
2006-02-13,651.91,653.7236,648.9634,649.6434,6940130.0
2006-02-14,649.19,656.8062,646.1074,647.3764,17543776.0
2006-02-15,648.7822,651.91,631.5098,635.5446,17636853.0
2006-02-16,636.9498,643.75,629.4698,631.7814,9831084.0
2006-02-17,632.8698,641.4834,625.7522,628.6084,11495258.0
2006-02-20,630.1498,637.3124,612.1064,635.9976,8126771.0
2006-02-21,635.5898,640.8486,629.5602,632.7336,7744706.0
2006-02-22,631.9628,639.6698,631.9628,636.995,10567029.0
2006-02-23,634.6828,641.4378,630.2854,635.0458,9802874.0
2006-02-24,634.6828,640.7578,634.0028,636.7686,6748079.0
2006-02-27,636.4964,651.91,631.9628,634.7736,11144044.0
2006-02-28,634.6828,647.6034,631.0562,642.6164,25942760.0
2006-03-01,641.9364,647.1048,637.5846,641.846,9740357.0
2006-03-02,641.982,651.8196,641.166,646.47,13846784.0
2006-03-03,646.47,651.0034,642.662,648.9182,12701775.0
2006-03-06,649.19,665.2384,648.2834,663.6062,18316467.0
2006-03-07,664.6946,670.4068,660.8862,663.561,12962222.0
2006-03-08,662.7906,665.4198,644.702,652.3182,17763357.0
2006-03-09,651.91,660.5688,645.5634,658.8918,11241401.0
2006-03-10,658.257,668.3212,658.257,663.8332,7460046.0
2006-03-13,658.257,671.676,658.257,664.0146,5527623.0
2006-03-14,663.6972,676.7534,661.0676,672.8094,14954134.0
2006-03-16,677.2974,698.1968,677.2068,696.7914,17298496.0
2006-03-17,695.522,708.9408,692.0766,702.3676,21642078.0
2006-03-20,699.058,707.2182,699.058,703.7728,7703962.0
2006-03-21,702.6846,719.9118,702.6846,707.4904,9886898.0
2006-03-22,707.2182,712.6582,688.5404,698.8768,16825913.0
2006-03-23,698.1514,710.3916,696.7458,704.6342,12282131.0
2006-03-24,704.4982,714.4718,703.5916,709.3038,8974304.0
2006-03-27,709.0316,722.9944,709.0316,720.0478,136947426.0
2006-03-28,719.9118,723.1306,713.2026,717.237,149698336.0
2006-03-29,717.1918,722.9944,714.1092,719.8666,5177281.0
2006-03-30,719.0052,730.5202,716.7382,720.9544,70333314.0
2006-03-31,720.8188,733.059,717.237,721.9518,329751202.0
2006-04-03,721.7252,757.0862,721.7252,751.8726,13598079.0
2006-04-04,751.6462,764.0224,751.6462,759.4888,9073107.0
2006-04-05,758.8996,764.3398,754.23,761.2114,8110279.0
2006-04-07,760.7128,769.689,749.3792,754.8196,14817736.0
2006-04-10,753.4592,760.7128,747.3392,756.9954,7859871.0
2006-04-12,756.1796,778.3934,744.3926,751.2378,23496704.0
2006-04-13,752.7792,772.8626,748.926,768.012,23849356.0
2006-04-17,767.9664,776.7612,767.3316,772.092,6494861.0
2006-04-18,771.5934,812.3034,771.5934,808.0874,22083123.0
2006-04-19,807.8608,844.3096,807.8608,834.9256,27523904.0
2006-04-20,834.1546,906.6448,834.1546,902.066,50981915.0
2006-04-21,901.2498,906.69,865.0276,883.388,27309192.0
2006-04-24,883.1162,905.7834,879.4892,885.4284,15956655.0
